Name,Brand,Price,Image URL,Product URL
Union Strata 2021 Snowboardbindung,Union,"
        € 279,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Strata+2021+Snowboardbindung-618609/
Capita Defenders Of Awesome 161W 2021 Snowboard,Capita,"
        € 479,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+161W+2021+Snowboard-618463/
Union Expedition Splitboard-Bindung 2021,Union,"
        € 379,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Expedition+Splitboard+Bindung+2021-618614/
Nitro Team Wide 162 2021 Snowboard,Nitro,"
        € 499,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Nitro-Team+Wide+162+2021+Snowboard-620520/
Nitro Team TLS 2020 Snowboardboots,Nitro,"
        € 319,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Nitro-Team+TLS+2020+Snowboardboots-576272/
Burton Felix Step On 2021,Burton,"
        € 389,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Felix+Step+On+2021-567092/
Salomon Faction Boa Snowboard-Boots 2021,Salomon,"
        € 229,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Salomon-Faction+Boa+Snowboard+Boots+2021-630673/
Nitro Team TLS 2021 Snowboardboots,Nitro,"
        € 399,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Nitro-Team+TLS+2021+Snowboardboots-620651/
Union Strata 2021 Snowboardbindung,Union,"
        € 279,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Strata+2021+Snowboardbindung-618609/?colid=acid+green
Lib Tech Travis Rice Pro Blunt 155 2021 Snowboard,Lib Tech,"
        € 599,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+155+2021+Snowboard-628751/
Anon Raider 3 Helm,Anon,"
        € 79,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Anon-Raider+3+Helm-567238/
Vans Hi-Standard Pro 2021 Snowboardboots,Vans,"
        € 279,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Vans-Hi+Standard+Pro+2021+Snowboardboots-628308/
Smith Holt 2 Helm,Smith,"
        € 59,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Smith-Holt+2+Helm-369334/
Burton Slx 2021 Snowboardboots,Burton,"
        € 559,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Slx+2021+Snowboardboots-622759/
DC Travis Rice 2021 Snowboardboots,DC,"
        € 449,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/DC-Travis+Rice+2021+Snowboardboots-614778/
Quiksilver QSRC Quiet Shade Goggle,Quiksilver,"
        € 129,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Quiksilver-QSRC+Quiet+Shade+Goggle-615986/
Giro Ledge Helm,Giro,"
        € 79,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Giro-Ledge+Helm-628962/
K2 Raider 2021 Snowboardboots,K2,"
        € 229,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/K2-Raider+2021+Snowboardboots-625080/
Anon Raider 3 Helm,Anon,"
        € 79,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Anon-Raider+3+Helm-625961/
Lib Tech Travis Rice Pro Blunt 157 2021 Snowboard,Lib Tech,"
        € 599,95",https://images.blue-tomato.com/is/image/bluetomato/304372929_front.jpg-wPQlLEtlUAzPJUoaxVoJhJEJJD0/Lib+Tech+Travis+Rice+Pro+Blunt+157+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+157+2021+Snowboard-628752/
Flow Nexus Snowboard-Bindung 2021,Flow,"
        € 169,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Flow-Nexus+Snowboard+Bindung+2021-629558/
Smith Scout Helm,Smith,"
        € 79,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Smith-Scout+Helm-538578/?colid=matte+french+navy
Lib Tech JL Short Wide 150 2021 Snowboard,Lib Tech,"
        € 599,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Lib+Tech-JL+Short+Wide+150+2021+Snowboard-628822/
Jones Snowboards Flagship 165W Snowboard 2021,Jones Snowboards,"
        € 649,95",https://images.blue-tomato.com/is/image/bluetomato/304375136_front.jpg-qwD37kd1IzpUbgDMaGSyeUEAwmI/Jones+Snowboards+Flagship+165W+Snowboard+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Flagship+165W+Snowboard+2021-629195/
Salomon Spell+ Helm,Salomon,"
        € 99,95",https://images.blue-tomato.com/is/image/bluetomato/304378398_front.jpg-so0mbspfpBu40tK6DQVMvB9jnHY/Salomon+Spell+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Spell+Helm-630684/
Vans Arthur Longo Hi-Standard Pro 2021 Snowboardboots,Vans,"
        € 289,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Vans-Arthur+Longo+Hi+Standard+Pro+2021+Snowboardboots-628307/
Capita Mercury 159 2021 Snowboard,Capita,"
        € 569,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Capita-Mercury+159+2021+Snowboard-618450/
Union Force 2021 Snowboardbindung,Union,"
        € 249,95",https://images.blue-tomato.com/is/image/bluetomato/304300377_front.jpg-qhApz8xT1f2ZaV1NwjXl_x3g0P0/Union+Force+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Force+2021+Snowboardbindung-618606/
Burton Ritual Ltd Boa 2021 Snowboardboots,Burton,"
        € 349,95",https://images.blue-tomato.com/is/image/bluetomato/304345999_front.jpg-P0gqXxeowu_vkQJCaJgGjkgvxyM/Burton+Ritual+Ltd+Boa+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Ritual+Ltd+Boa+2021+Snowboardboots-623039/
Dragon NFXs Foliage (+Bonus Lens) Goggle,Dragon,"
        € 144,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Dragon-NFXs+Foliage+Bonus+Lens+Goggle-627758/
Nitro Crown TLS 2020 Snowboardboots,Nitro,"
        € 239,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Nitro-Crown+TLS+2020+Snowboardboots-576288/
